Project Name,Project URL,Commit Hash,Number of commits,Number of contributors,Number of Python files,Number of IPynb files,Number of lines of pure Python,Number of lines of IPynb Python,Has requirements.txt file,Total Pylint messages,convention,refactor,warning,error,fatal,import-pandas,import-numpy,import-pyplot,import-sklearn,import-tensorflow,import-pytorch,unnecessary-iteration-pandas,dataframe-iteration-modification-pandas,unnecessary-iteration-tensorflow,nan-numpy,chain-indexing-pandas,datatype-pandas,column-selection-pandas,merge-parameter-pandas,inplace-pandas,dataframe-conversion-pandas,scaler-missing-scikitlearn,hyperparameters-scikitlearn,hyperparameters-tensorflow,hyperparameters-pytorch,memory-release-tensorflow,deterministic-pytorch,randomness-control-numpy,randomness-control-scikitlearn,randomness-control-tensorflow,randomness-control-pytorch,randomness-control-dataloader-pytorch,missing-mask-tensorflow,missing-mask-pytorch,tensor-array-tensorflow,forward-pytorch,gradient-clear-pytorch,pipeline-not-used-scikitlearn,dependent-threshold-scikitlearn,dependent-threshold-tensorflow,dependent-thrld-pytorch
t3f,https://github.com/Bihaqo/t3f,8096b3883867087206f44e32a99d8ab19255dc25,1118,12,36,5,8864,417,TRUE,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,0,0,0,0,0,0,0,0,0,0,0
instacart-basket-prediction,https://github.com/sjvasquez/instacart-basket-prediction,f45fc284b4e8c9858784ed186d7a22e5e78237fb,10,1,26,0,3547,0,TRUE,26,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1,0,8,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
Attention-Gated-Networks,https://github.com/ozan-oktay/Attention-Gated-Networks,eee4881fdc31920efd873773e0b744df8dacbfb6,23,3,49,0,6441,0,TRUE,25,5,0,20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,12,0,0,0,2,0,0,0,0,0
loss-landscape,https://github.com/tomgoldstein/loss-landscape,64ef4d57f8dabe79b57a637819c44e48eda98f33,57,7,23,0,3262,0,FALSE,21,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,0,0,0,0,1,0,0,0,0
fast-neural-style-tensorflow,https://github.com/hzy46/fast-neural-style-tensorflow,eeaa47d359e5c589a4cc6ccbf8c0450ccc657d2d,23,5,41,0,8110,0,FALSE,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0
deepgaze,https://github.com/mpatacchiola/deepgaze,fddc129da9692d7a2002d0df5baf142eae3b722b,232,12,55,0,8194,0,TRUE,19,7,0,12,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
yolo-tf,https://github.com/ruiminshen/yolo-tf,eae65c8071fe5069f5e3bb1e26f19a761b1b68bc,108,1,22,0,1972,0,FALSE,17,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0
milk,https://github.com/luispedro/milk,abc2a28b526c199414d42c0a26092938968c3caf,687,12,108,0,8887,0,TRUE,16,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blitznet,https://github.com/dvornikita/blitznet,a54028d07c7bf75e5fcce285109d64c76f0d1cf5,26,5,25,0,4061,0,FALSE,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,3,0,0,0,0,0,0,0,0
3D-convolutional-speaker-recognition,https://github.com/astorfi/3D-convolutional-speaker-recognition,56896408cb802d5d9fb03e2eb407077ac660b6b1,89,2,30,0,3034,0,FALSE,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0
